Date,Open,High,Low,Close,Adj Close,Volume
2019-03-14,50.779999,51.590000,50.610001,51.160000,50.427265,7699800
2019-03-15,51.160000,51.720001,50.950001,51.369999,50.634254,7146500
2019-03-18,51.340000,51.529999,51.000000,51.080002,50.348412,4217300
2019-03-19,51.169998,51.720001,50.480000,50.740002,50.013279,4319700
2019-03-20,50.500000,50.700001,49.410000,49.700001,48.988174,5785700
2019-03-21,49.700001,51.029999,49.700001,50.740002,50.013279,5574100
2019-03-22,50.419998,50.520000,49.299999,49.320000,48.613617,4834900
2019-03-25,49.259998,49.540001,48.529999,48.689999,47.992641,4501800
2019-03-26,48.849998,49.480000,48.580002,48.750000,48.051781,3821400
2019-03-27,48.500000,50.250000,48.500000,49.830002,49.116314,8071800
2019-03-28,49.799999,50.720001,49.720001,50.450001,49.727436,7368900
2019-03-29,50.580002,52.099998,50.450001,51.910000,51.166523,6669600
2019-04-01,52.270000,53.049999,52.020000,52.410000,51.659359,6312900
2019-04-02,53.169998,53.430000,52.150002,52.709999,51.955063,4412800
2019-04-03,52.950001,53.520000,52.820000,52.889999,52.132488,3098300
2019-04-04,53.250000,53.299999,52.209999,53.180000,52.418335,2799500
2019-04-05,53.250000,53.730000,53.060001,53.250000,52.487331,2531800
2019-04-08,52.259998,52.500000,51.669998,51.939999,51.196095,7001700
2019-04-09,51.630001,52.080002,51.380001,51.889999,51.146809,3380600
2019-04-10,52.570000,52.759998,51.720001,52.619999,51.866356,3910700
2019-04-11,52.750000,53.509998,52.689999,53.000000,52.240913,3287100
2019-04-12,53.270000,53.639999,52.709999,53.130001,52.369053,2738400
2019-04-15,53.060001,53.060001,52.279999,52.290001,51.541084,2524600
2019-04-16,52.259998,52.970001,51.980000,52.779999,52.024059,2941000
2019-04-17,53.389999,53.630001,52.470001,52.759998,52.004349,2571000
2019-04-18,52.660000,52.770000,51.900002,52.180000,51.432659,3342100
2019-04-22,51.860001,52.070000,51.459999,51.709999,50.969387,2971500
2019-04-23,51.779999,52.919998,51.560001,52.790001,52.033920,3600000
2019-04-24,52.910000,53.040001,52.389999,52.930000,52.171913,4074200
2019-04-25,53.119999,54.860001,52.639999,53.349998,52.585896,7115900
2019-04-26,53.250000,53.549999,52.939999,52.980000,52.221199,3939400
2019-04-29,52.990002,54.070000,52.740002,53.830002,53.059025,4029400
2019-04-30,53.930000,54.560001,53.520000,54.230000,53.453297,3861000
2019-05-01,54.599998,54.610001,53.860001,53.900002,53.128021,2514200
2019-05-02,53.990002,54.490002,53.360001,53.369999,52.605610,2903900
2019-05-03,53.520000,53.930000,53.290001,53.619999,52.852032,2502100
2019-05-06,52.810001,53.610001,52.720001,53.480000,52.714035,2307600
2019-05-07,53.040001,53.119999,51.450001,52.209999,51.462227,4893900
2019-05-08,51.889999,52.889999,51.610001,52.410000,51.659359,3464800
2019-05-09,51.900002,52.520000,51.799999,52.459999,51.708645,2749100
2019-05-10,52.150002,52.880001,51.180000,52.740002,51.984638,2564700
2019-05-13,51.770000,51.840000,50.779999,51.040001,50.308983,3285700
2019-05-14,51.119999,51.939999,50.900002,51.650002,50.910248,2616100
2019-05-15,51.009998,52.439999,50.709999,52.009998,51.265087,3086600
2019-05-16,52.169998,53.009998,52.000000,52.590000,51.836784,3176100
